Area_name,STCOU,EDU010197F,EDU010197D,EDU010197N1,EDU010197N2,EDU010198F,EDU010198D,EDU010198N1,EDU010198N2,EDU010199F,EDU010199D,EDU010199N1,EDU010199N2,EDU010200F,EDU010200D,EDU010200N1,EDU010200N2,EDU010201F,EDU010201D,EDU010201N1,EDU010201N2,EDU010202F,EDU010202D,EDU010202N1,EDU010202N2,EDU015203F,EDU015203D,EDU015203N1,EDU015203N2,EDU015204F,EDU015204D,EDU015204N1,EDU015204N2,EDU015205F,EDU015205D,EDU015205N1,EDU015205N2,EDU015206F,EDU015206D,EDU015206N1,EDU015206N2
"Union, SD",46127,0,2637,0,0,0,2705,0,0,0,2649,0,0,0,2668,0,0,0,2625,0,0,0,2641,0,0,0,2680,0,0,0,2741,0,0,0,2707,0,0,0,2688,0,0
"Walworth, SD",46129,0,1109,0,0,0,1059,0,0,0,1029,0,0,0,1046,0,0,0,925,0,0,0,838,0,0,0,842,0,0,0,857,0,0,0,838,0,0,0,795,0,0
"Yankton, SD",46135,0,3754,0,0,0,3756,0,0,0,3724,0,0,0,3731,0,0,0,3666,0,0,0,3662,0,0,0,3609,0,0,0,3566,0,0,0,3454,0,0,0,3214,0,0
"Ziebach, SD",46137,0,604,0,0,0,518,0,0,0,264,0,0,0,240,0,0,0,250,0,0,0,233,0,0,0,256,0,0,0,267,0,0,0,281,0,0,0,711,0,0
TENNESSEE,47000,0,886517,0,0,0,864212,0,0,0,892936,0,0,0,907245,0,0,0,893061,0,0,0,897702,0,0,0,911636,0,0,0,941091,0,0,0,953796,0,0,0,978368,0,0
"Anderson, TN",47001,0,12856,0,0,0,11983,0,0,0,12647,0,0,0,13044,0,0,0,12365,0,0,0,12307,0,0,0,12104,0,0,0,12275,0,0,0,12303,0,0,0,12624,0,0
"Bedford, TN",47003,0,5847,0,0,0,5509,0,0,0,5998,0,0,0,6029,0,0,0,6210,0,0,0,6277,0,0,0,6689,0,0,0,7117,0,0,0,7394,0,0,0,7680,0,0
"Benton, TN",47005,0,2586,0,0,0,2555,0,0,0,2553,0,0,0,2609,0,0,0,2527,0,0,0,2487,0,0,0,2438,0,0,0,2485,0,0,0,3161,0,0,0,2553,0,0
"Bledsoe, TN",47007,0,1718,0,0,0,1673,0,0,0,1749,0,0,0,1810,0,0,0,1746,0,0,0,1754,0,0,0,1794,0,0,0,1969,0,0,0,2007,0,0,0,2021,0,0
"Blount, TN",47009,0,15698,0,0,0,15161,0,0,0,16076,0,0,0,16306,0,0,0,16226,0,0,0,16536,0,0,0,16911,0,0,0,17387,0,0,0,17747,0,0,0,18137,0,0
"Bradley, TN",47011,0,13356,0,0,0,13263,0,0,0,13365,0,0,0,13314,0,0,0,13402,0,0,0,13378,0,0,0,13577,0,0,0,13905,0,0,0,14209,0,0,0,15324,0,0
"Campbell, TN",47013,0,6434,0,0,0,6461,0,0,0,6379,0,0,0,6577,0,0,0,6219,0,0,0,6174,0,0,0,6046,0,0,0,6370,0,0,0,6037,0,0,0,6176,0,0
"Cannon, TN",47015,0,2002,0,0,0,2034,0,0,0,2052,0,0,0,2100,0,0,0,2077,0,0,0,2132,0,0,0,2136,0,0,0,2170,0,0,0,2205,0,0,0,2331,0,0
"Carroll, TN",47017,0,5215,0,0,0,5219,0,0,0,5189,0,0,0,5242,0,0,0,5026,0,0,0,4912,0,0,0,4867,0,0,0,5232,0,0,0,5182,0,0,0,5233,0,0
"Carter, TN",47019,0,8482,0,0,0,8476,0,0,0,7900,0,0,0,8509,0,0,0,8287,0,0,0,8243,0,0,0,8067,0,0,0,8244,0,0,0,8181,0,0,0,8015,0,0
"Cheatham, TN",47021,0,6539,0,0,0,6568,0,0,0,6740,0,0,0,6791,0,0,0,6861,0,0,0,6867,0,0,0,6931,0,0,0,6731,0,0,0,7284,0,0,0,7105,0,0
"Chester, TN",47023,0,2402,0,0,0,2435,0,0,0,2463,0,0,0,2502,0,0,0,2459,0,0,0,2437,0,0,0,2524,0,0,0,2546,0,0,0,2551,0,0,0,2772,0,0
"Claiborne, TN",47025,0,4616,0,0,0,4727,0,0,0,4733,0,0,0,4855,0,0,0,4659,0,0,0,4612,0,0,0,4648,0,0,0,4956,0,0,0,4998,0,0,0,5307,0,0
"Clay, TN",47027,0,1221,0,0,0,1248,0,0,0,1238,0,0,0,1540,0,0,0,1197,0,0,0,1190,0,0,0,1151,0,0,0,1087,0,0,0,1176,0,0,0,1227,0,0
"Cocke, TN",47029,0,5354,0,0,0,5384,0,0,0,5435,0,0,0,5501,0,0,0,5311,0,0,0,5329,0,0,0,5426,0,0,0,5500,0,0,0,5467,0,0,0,5670,0,0
"Coffee, TN",47031,0,8765,0,0,0,8796,0,0,0,8719,0,0,0,8990,0,0,0,8967,0,0,0,8998,0,0,0,8959,0,0,0,9390,0,0,0,9160,0,0,0,9852,0,0
"Crockett, TN",47033,0,2656,0,0,0,2629,0,0,0,2628,0,0,0,2680,0,0,0,2677,0,0,0,2686,0,0,0,2654,0,0,0,2816,0,0,0,2849,0,0,0,2901,0,0
"Cumberland, TN",47035,0,6426,0,0,0,6579,0,0,0,6707,0,0,0,6832,0,0,0,6562,0,0,0,6775,0,0,0,6899,0,0,0,7089,0,0,0,7337,0,0,0,7455,0,0
"Davidson, TN",47037,0,69888,0,0,0,67558,0,0,0,67016,0,0,0,70176,0,0,0,67669,0,0,0,67689,0,0,0,68651,0,0,0,72807,0,0,0,72713,0,0,0,73731,0,0
"Decatur, TN",47039,0,1810,0,0,0,1837,0,0,0,1848,0,0,0,1871,0,0,0,1753,0,0,0,1544,0,0,0,1495,0,0,0,1562,0,0,0,1602,0,0,0,1648,0,0
"DeKalb, TN",47041,0,2771,0,0,0,2685,0,0,0,2638,0,0,0,2667,0,0,0,2111,0,0,0,2602,0,0,0,2584,0,0,0,2752,0,0,0,2684,0,0,0,2878,0,0
"Dickson, TN",47043,0,7734,0,0,0,7874,0,0,0,7870,0,0,0,7946,0,0,0,7966,0,0,0,7894,0,0,0,8111,0,0,0,8181,0,0,0,8327,0,0,0,8435,0,0
"Dyer, TN",47045,0,6790,0,0,0,6817,0,0,0,6877,0,0,0,6887,0,0,0,6788,0,0,0,6764,0,0,0,6760,0,0,0,6999,0,0,0,7068,0,0,0,7159,0,0
"Fayette, TN",47047,0,4089,0,0,0,3933,0,0,0,3811,0,0,0,3917,0,0,0,3555,0,0,0,3447,0,0,0,3213,0,0,0,3640,0,0,0,3536,0,0,0,4062,0,0
"Fentress, TN",47049,0,1767,0,0,0,2331,0,0,0,2354,0,0,0,2354,0,0,0,2364,0,0,0,2331,0,0,0,2252,0,0,0,2352,0,0,0,2277,0,0,0,2491,0,0
"Franklin, TN",47051,0,6636,0,0,0,6000,0,0,0,5880,0,0,0,4935,0,0,0,5796,0,0,0,5750,0,0,0,5776,0,0,0,5983,0,0,0,6015,0,0,0,6116,0,0
