Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Salt Lake, UT",49035,0,165056,0,0,0,164744,0,0,0,171357,0,0,0,172031,0,0,0,174786,0,0,0,179926,0,0,0,181718,0,0,0,182900,0,0,0,182006,0,0,0,181361,0,0
"San Juan, UT",49037,0,3480,0,0,0,3352,0,0,0,3445,0,0,0,3423,0,0,0,3447,0,0,0,3420,0,0,0,3400,0,0,0,3540,0,0,0,3452,0,0,0,3395,0,0
"Sanpete, UT",49039,0,4500,0,0,0,4590,0,0,0,4815,0,0,0,4965,0,0,0,4988,0,0,0,5253,0,0,0,5251,0,0,0,5401,0,0,0,5459,0,0,0,5475,0,0
"Sevier, UT",49041,0,4686,0,0,0,5022,0,0,0,6137,0,0,0,5624,0,0,0,5698,0,0,0,4949,0,0,0,4859,0,0,0,4914,0,0,0,4972,0,0,0,4909,0,0
"Summit, UT",49043,0,3157,0,0,0,3284,0,0,0,3415,0,0,0,3641,0,0,0,3918,0,0,0,4252,0,0,0,4610,0,0,0,4914,0,0,0,5173,0,0,0,5387,0,0
"Tooele, UT",49045,0,7254,0,0,0,7212,0,0,0,7188,0,0,0,7084,0,0,0,7172,0,0,0,7307,0,0,0,7355,0,0,0,7334,0,0,0,7488,0,0,0,7495,0,0
"Uintah, UT",49047,0,6611,0,0,0,6205,0,0,0,6414,0,0,0,6401,0,0,0,6579,0,0,0,6775,0,0,0,6795,0,0,0,6814,0,0,0,6831,0,0,0,6699,0,0
"Utah, UT",49049,0,63339,0,0,0,63937,0,0,0,66787,0,0,0,67835,0,0,0,68872,0,0,0,70001,0,0,0,71118,0,0,0,73246,0,0,0,74023,0,0,0,75051,0,0
"Wasatch, UT",49051,0,2789,0,0,0,2865,0,0,0,2890,0,0,0,2997,0,0,0,2980,0,0,0,3148,0,0,0,3137,0,0,0,3219,0,0,0,3288,0,0,0,3389,0,0
"Washington, UT",49053,0,10713,0,0,0,11299,0,0,0,12040,0,0,0,12647,0,0,0,13264,0,0,0,13961,0,0,0,14596,0,0,0,15644,0,0,0,16550,0,0,0,17418,0,0
"Wayne, UT",49055,0,607,0,0,0,588,0,0,0,622,0,0,0,0,0,0,0,619,0,0,0,614,0,0,0,591,0,0,0,590,0,0,0,602,0,0,0,602,0,0
